Pedersen event,Year according to Manitius,Date,Place,Label,Month,Day,Year,Ruler
urn:cite2:chron:pedersen:1,721 BC,March 19,Babylon,Total lunar eclipse in 721 BC,Thoth,29.5,1,urn:cite2:chron:heraclian:5
urn:cite2:chron:pedersen:7,491 BC,April 25,Babylon?,Partial lunar eclipse in 491 BC,Tybi,3.5,31,urn:cite2:chron:heraclian:23
urn:cite2:chron:pedersen:8,432 BC,June 27,Athens,Time of Summer solstice in 432 BC,Phamenoth,21,,
urn:cite2:chron:pedersen:9,383 BC,Dec 23,Babylon,Beginning of small lunar eclipse in 383 BC,Thoth,26.5,366,urn:cite2:chron:heraclian:1
urn:cite2:chron:pedersen:10,382 BC,June 18,Babylon,Beginning of partial lunar eclipse in 382 BC,Phamenoth,24.5,,
urn:cite2:chron:pedersen:11,382 BC,Dec 12,Babylon,Beginning of total lunar eclipse in 382 BC,Thoth,16.5,367,urn:cite2:chron:heraclian:1
urn:cite2:chron:pedersen:16,280 BC,,Alexandria,Time of summer solstice,,,,
urn:cite2:chron:pedersen:18,272 BC,Oct 12,Alexandria,Conjunction of eta Virginis and Venus in 272 BC,Mesore,17.5,476,urn:cite2:chron:heraclian:1
urn:cite2:chron:pedersen:19,272 BC,Oct 16,Alexandria,Morning on Oct 16 of 272 BC,Mesore,21.5,13,urn:cite2:chron:heraclian:35
urn:cite2:chron:pedersen:30,201 BC,Sept 22,Alexandria,End of a lunar eclipse lasting 3 hours in 201 BC,,,,
urn:cite2:chron:pedersen:31,200 BC,March 19,Alexandria,Beginning of a total lunar eclipse,,,,
urn:cite2:chron:pedersen:32,200 BC,Sept 12,Alexandria,Beginning of a total lunar eclipse,,,,
urn:cite2:chron:pedersen:34,162 BC,Sept 27,,Time of the autumnal equinox,,,,
urn:cite2:chron:pedersen:35,159 BC,Sept 27,,Time of the autumnal equinox,,,,
urn:cite2:chron:pedersen:36,158 BC,Sept 27,,Time of autumnal equinox,,,,
urn:cite2:chron:pedersen:37,146 BC,September 26/27,Alexandria,Time of autumnal equinox,,,,
urn:cite2:chron:pedersen:38,146 BC,March 24,Alexandria,Time of vernal equinox,,,,
urn:cite2:chron:pedersen:39,146 BC,April 21,Alexandria ,total lunar eclipse,,,,
urn:cite2:chron:pedersen:40,146 BC,Sept 27,Alexandria,Time of autumnal equinox,,,,
urn:cite2:chron:pedersen:43,135 BC,March 31,,Total lunar eclipse,,,,
urn:cite2:chron:pedersen:44,135 BC,,,Time of summer solstice,,,,
urn:cite2:chron:pedersen:45,,March 23,,Time of vernal equinox,,,,
urn:cite2:chron:pedersen:47,128 BC,March 23,Rhodes,Time of vernal equinox,,,,
urn:cite2:chron:pedersen:53,98 AD,Jan 14,Rome,Occultation of [beta] Scorpii by the Moon in 98 AD,Mechir,18.5,1,urn:cite2:chron:heraclian:53
urn:cite2:chron:pedersen:54,125 AD,Apr 5,Alexandria,Partial lunar eclipse in 125 AD,Pachon,17.5,9,urn:cite2:chron:heraclian:54
urn:cite2:chron:pedersen:62,132 AD,March 7,Alexandria,Autumnal equinox in 132 AD,Athyr,7,17,urn:cite2:chron:heraclian:54
urn:cite2:chron:pedersen:78,137 AD,October 8,Alexandria,Opposition of Jupiter at a longitude of 14;23,Man,2,,
urn:cite2:chron:pedersen:89,139 AD,Sept 26,Alexandria,Time of Autumnal equinox in 139 AD,Athyr,9,3,urn:cite2:chron:heraclian:55
urn:cite2:chron:pedersen:92,140 AD,June 25,Alexandria,Time of summer Solstice in 140 AD,Mesore,11.5,3,urn:cite2:chron:heraclian:55
