Archon,Label,Sequence,Source
urn:cite2:chron:archon:3,Calliades,1,urn:cts:greekLit:tlg0060.tlg001:11.1
urn:cite2:chron:archon:30,Xanthippus,2,urn:cts:greekLit:tlg0060.tlg001:11.27
urn:cite2:chron:archon:71,Timosthenes,3,urn:cts:greekLit:tlg0060.tlg001:11.38
urn:cite2:chron:archon:4,Adeimantus,4,urn:cts:greekLit:tlg0060.tlg001:11.41
urn:cite2:chron:archon:5,Phaedon,5,urn:cts:greekLit:tlg0060.tlg001:11.48
urn:cite2:chron:archon:7,Dromocleides,6,urn:cts:greekLit:tlg0060.tlg001:11.50
urn:cite2:chron:archon:14,Acestorides,7,urn:cts:greekLit:tlg0060.tlg001:11.51
urn:cite2:chron:archon:20,Menon,8,urn:cts:greekLit:tlg0060.tlg001:11.52
urn:cite2:chron:archon:23,Chares,9,urn:cts:greekLit:tlg0060.tlg001:11.53
urn:cite2:chron:archon:25,Praxiergus,10,urn:cts:greekLit:tlg0060.tlg001:11.54
urn:cite2:chron:archon:32,Demotion,11,urn:cts:greekLit:tlg0060.tlg001:11.60
urn:cite2:chron:archon:59,Phaeon,12,urn:cts:greekLit:tlg0060.tlg001:11.63
urn:cite2:chron:archon:76,Theageneides,13,urn:cts:greekLit:tlg0060.tlg001:11.65
urn:cite2:chron:archon:44,Lysistratus,14,urn:cts:greekLit:tlg0060.tlg001:11.66
urn:cite2:chron:archon:54,Lysanias,15,urn:cts:greekLit:tlg0060.tlg001:11.67
urn:cite2:chron:archon:66,Lysitheüs,16,urn:cts:greekLit:tlg0060.tlg001:11.69
urn:cite2:chron:archon:65,Archedemides,17,urn:cts:greekLit:tlg0060.tlg001:11.70
urn:cite2:chron:archon:12,Tlepolemus,18,urn:cts:greekLit:tlg0060.tlg001:11.71
urn:cite2:chron:archon:60,Conon,19,urn:cts:greekLit:tlg0060.tlg001:11.74
urn:cite2:chron:archon:19,Euthippus,20,urn:cts:greekLit:tlg0060.tlg001:11.75
urn:cite2:chron:archon:31,Phrasicleides,21,urn:cts:greekLit:tlg0060.tlg001:11.77
urn:cite2:chron:archon:45,Philocles,22,urn:cts:greekLit:tlg0060.tlg001:11.78
urn:cite2:chron:archon:55,Bion,23,urn:cts:greekLit:tlg0060.tlg001:11.79
urn:cite2:chron:archon:38,Mnesitheides,24,urn:cts:greekLit:tlg0060.tlg001:11.81
urn:cite2:chron:archon:50,Callias,25,urn:cts:greekLit:tlg0060.tlg001:11.84
urn:cite2:chron:archon:77,Sosistratus,26,urn:cts:greekLit:tlg0060.tlg001:11.85
urn:cite2:chron:archon:67,Ariston,27,urn:cts:greekLit:tlg0060.tlg001:11.86
urn:cite2:chron:archon:13,Lysicrates,28,urn:cts:greekLit:tlg0060.tlg001:11.88
urn:cite2:chron:archon:61,Antidotus,29,urn:cts:greekLit:tlg0060.tlg001:11.91
urn:cite2:chron:archon:21,Euthydemus,30,urn:cts:greekLit:tlg0060.tlg001:12.3
urn:cite2:chron:archon:22,Pedieus,31,urn:cts:greekLit:tlg0060.tlg001:12.4
urn:cite2:chron:archon:24,Philiscus,32,urn:cts:greekLit:tlg0060.tlg001:12.5
urn:cite2:chron:archon:33,Timarchides,33,urn:cts:greekLit:tlg0060.tlg001:12.6
urn:cite2:chron:archon:8,Callimachus,34,urn:cts:greekLit:tlg0060.tlg001:12.7
urn:cite2:chron:archon:39,Lysimachides,35,urn:cts:greekLit:tlg0060.tlg001:12.22
urn:cite2:chron:archon:6,Praxiteles,36,urn:cts:greekLit:tlg0060.tlg001:12.23
