Ruler,Label,Sequence
urn:cite2:chron:jer_macedonians:ruler1,Caranus,1
urn:cite2:chron:jer_macedonians:ruler2,Coenus,2
urn:cite2:chron:jer_macedonians:ruler3,Tyrimas,3
urn:cite2:chron:jer_macedonians:ruler4,Perdiccas,4
urn:cite2:chron:jer_macedonians:ruler5,Argaeus,5
urn:cite2:chron:jer_macedonians:ruler6,Philip,6
urn:cite2:chron:jer_macedonians:ruler7,Europus,7
urn:cite2:chron:jer_macedonians:ruler8,Alcetas,8
urn:cite2:chron:jer_macedonians:ruler9,Amyntas,9
urn:cite2:chron:jer_macedonians:ruler10,Alexander,10
urn:cite2:chron:jer_macedonians:ruler11,Perdiccas,11
urn:cite2:chron:jer_macedonians:ruler12,Archelaus,12
urn:cite2:chron:jer_macedonians:ruler13,Archelaus,13
urn:cite2:chron:jer_macedonians:ruler14,Amyntas,14
urn:cite2:chron:jer_macedonians:ruler15,Pausanias,15
urn:cite2:chron:jer_macedonians:ruler16,Amyntas,16
urn:cite2:chron:jer_macedonians:ruler17,Argeus,17
urn:cite2:chron:jer_macedonians:ruler18,Amyntas,18
urn:cite2:chron:jer_macedonians:ruler19,Alexander,19
urn:cite2:chron:jer_macedonians:ruler20,Philip,20
urn:cite2:chron:jer_macedonians:ruler21,Alexander,21
urn:cite2:chron:jer_macedonians:ruler22,Philip Arrhidaeus,22
urn:cite2:chron:jer_macedonians:ruler23,Cassander,23
urn:cite2:chron:jer_macedonians:ruler24,Anigonus and Alexander,24
urn:cite2:chron:jer_macedonians:ruler25,Lysimachus,25
urn:cite2:chron:jer_macedonians:ruler26,Ptolemy the Thunderbolt,26
urn:cite2:chron:jer_macedonians:ruler27,Meleager,27
urn:cite2:chron:jer_macedonians:ruler28,Antigonus Gonatas,28
urn:cite2:chron:jer_macedonians:ruler29,Demetrius,29
urn:cite2:chron:jer_macedonians:ruler30,Antigonus,30
urn:cite2:chron:jer_macedonians:ruler31,Philip,31
urn:cite2:chron:jer_macedonians:ruler32,Perseus,32
