King,Name,Source
urn:cite2:chron:spartankings:a16,Leonidas,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a15,Anaxandridas,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a14,Leon,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a13,Eurycratidas,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a12,Anaxander,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a11,Eurycrates,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a10,Polydorus,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a9,Alcamenes,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a8,Telecles,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a7,Archelaus,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a6,Hegesilaus ,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a5,Doryssus,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a4,Leobotes,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a3,Echestratus,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a2,Agis,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:a1,Eurysthenes,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:5,Aristodemus,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:4,Aristomachus,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:3,Cleodaeus,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:2,Hyllus,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:1,Heracles,urn:cts:greekLit:tlg0016.tlg001:7.204
urn:cite2:chron:spartankings:e1,Procles,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e2,Eurypon,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e3,Prytanis,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e4,Polydectes,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e5,Eunomus,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e6,Charilaus,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e7,Nicander,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e8,Theopompus,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e9,Anaxandrides,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e10,Archidamus,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e11,Anaxilaus,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e12,Leotychides,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e13,Hippocratides,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e14,Agesilaus,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e15,Menares,urn:cts:greekLit:tlg0016.tlg001:8.131
urn:cite2:chron:spartankings:e16,Leotychides,urn:cts:greekLit:tlg0016.tlg001:8.131
